explored  time (s)  solution           fval        gap (%)                                         
 7290032   1018.28         1   1.000000e+01   9.999000e-03                                          
 7300032   1019.80         1   1.000000e+01   9.999000e-03                                          
 7310032   1021.34         1   1.000000e+01   9.999000e-03                                          
 7320032   1023.02         1   1.000000e+01   9.999000e-03                                          
 7330032   1024.29         1   1.000000e+01   9.999000e-03                                          
 7340032   1025.54         1   1.000000e+01   9.999000e-03                                          
 7350032   1026.72         1   1.000000e+01   9.999000e-03                                          
 7360032   1028.13         1   1.000000e+01   9.999000e-03                                          
 7370032   1029.50         1   1.000000e+01   9.999000e-03                                          
 7380032   1030.86         1   1.000000e+01   9.999000e-03                                          
 7390032   1032.20         1   1.000000e+01   9.999000e-03                                          
 7400032   1033.52         1   1.000000e+01   9.999000e-03                                          
 7410032   1034.82         1   1.000000e+01   9.999000e-03                                          
 7420032   1036.10         1   1.000000e+01   9.999000e-03                                          
 7430032   1037.36         1   1.000000e+01   9.999000e-03                                          
 7440032   1038.59         1   1.000000e+01   9.999000e-03                                          
 7450032   1039.81         1   1.000000e+01   9.999000e-03                                          
 7460032   1041.12         1   1.000000e+01   9.999000e-03                                          
 7470032   1042.52         1   1.000000e+01   9.999000e-03                                          
 7480032   1043.94         1   1.000000e+01   9.999000e-03                                          
 7490032   1045.46         1   1.000000e+01   9.999000e-03                                          
 7500032   1047.25         1   1.000000e+01   9.999000e-03                                          
 7510032   1048.83         1   1.000000e+01   9.999000e-03                                          
 7520032   1050.37         1   1.000000e+01   9.999000e-03                                          
 7530032   1051.92         1   1.000000e+01   9.999000e-03                                          
 7540032   1053.71         1   1.000000e+01   9.999000e-03                                          
 7550032   1055.01         1   1.000000e+01   9.999000e-03                                          
 7560032   1056.27         1   1.000000e+01   9.999000e-03                                          
 7570032   1057.52         1   1.000000e+01   9.999000e-03                                          
 7580032   1058.70         1   1.000000e+01   9.999000e-03                                          
 7590032   1060.18         1   1.000000e+01   9.999000e-03                                          
 7600032   1061.53         1   1.000000e+01   9.999000e-03                                          
 7610032   1062.87         1   1.000000e+01   9.999000e-03                                          
 7620032   1064.19         1   1.000000e+01   9.999000e-03                                          
 7630032   1065.47         1   1.000000e+01   9.999000e-03                                          
 7640032   1066.74         1   1.000000e+01   9.999000e-03                                          
 7650032   1067.98         1   1.000000e+01   9.999000e-03                                          
 7660032   1069.22         1   1.000000e+01   9.999000e-03                                          
 7670032   1070.54         1   1.000000e+01   9.999000e-03                                          
 7680032   1071.79         1   1.000000e+01   9.999000e-03                                          
 7690032   1073.04         1   1.000000e+01   9.999000e-03                                          
 7700032   1074.38         1   1.000000e+01   9.999000e-03                                          
 7710032   1075.71         1   1.000000e+01   9.999000e-03                                          
 7720032   1077.02         1   1.000000e+01   9.999000e-03                                          
 7730032   1078.40         1   1.000000e+01   9.999000e-03                                          
 7740032   1079.79         1   1.000000e+01   9.999000e-03                                          
 7750032   1081.20         1   1.000000e+01   9.999000e-03                                          
 7760032   1082.60         1   1.000000e+01   9.999000e-03                                          
 7770032   1083.97         1   1.000000e+01   9.999000e-03                                          
 7780032   1085.32         1   1.000000e+01   9.999000e-03                                          
 7790032   1086.66         1   1.000000e+01   9.999000e-03                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
 7800032   1087.97         1   1.000000e+01   9.999000e-03                                          
 7810032   1089.28         1   1.000000e+01   9.999000e-03                                          
 7820032   1090.54         1   1.000000e+01   9.999000e-03                                          
 7830032   1091.80         1   1.000000e+01   9.999000e-03                                          
 7840032   1093.02         1   1.000000e+01   9.999000e-03                                          
 7850032   1094.21         1   1.000000e+01   9.999000e-03                                          
 7860032   1095.69         1   1.000000e+01   9.999000e-03                                          
 7870032   1097.20         1   1.000000e+01   9.999000e-03                                          
 7880032   1098.82         1   1.000000e+01   9.999000e-03                                          
 7890032   1100.60         1   1.000000e+01   9.999000e-03                                          
 7900032   1102.13         1   1.000000e+01   9.999000e-03                                          
 7910032   1103.68         1   1.000000e+01   9.999000e-03                                          
 7920032   1105.42         1   1.000000e+01   9.999000e-03                                          
 7930032   1106.70         1   1.000000e+01   9.999000e-03                                          
 7940032   1107.98         1   1.000000e+01   9.999000e-03                                          
 7950032   1109.21         1   1.000000e+01   9.999000e-03                                          
 7960032   1110.42         1   1.000000e+01   9.999000e-03                                          
 7970032   1111.85         1   1.000000e+01   9.999000e-03                                          
 7980032   1113.19         1   1.000000e+01   9.999000e-03                                          
 7990032   1114.57         1   1.000000e+01   9.999000e-03                                          
 8000032   1115.89         1   1.000000e+01   9.999000e-03                                          
 8010032   1117.20         1   1.000000e+01   9.999000e-03                                          
 8020032   1118.50         1   1.000000e+01   9.999000e-03                                          
 8030032   1119.76         1   1.000000e+01   9.999000e-03                                          
 8040032   1120.98         1   1.000000e+01   9.999000e-03                                          
 8050032   1122.21         1   1.000000e+01   9.999000e-03                                          
 8060032   1123.41         1   1.000000e+01   9.999000e-03                                          
 8070032   1124.75         1   1.000000e+01   9.999000e-03                                          
 8080032   1126.12         1   1.000000e+01   9.999000e-03                                          
 8090032   1127.47         1   1.000000e+01   9.999000e-03                                          
 8100032   1128.96         1   1.000000e+01   9.999000e-03                                          
 8110032   1130.73         1   1.000000e+01   9.999000e-03                                          
 8120032   1132.26         1   1.000000e+01   9.999000e-03                                          
 8130032   1133.82         1   1.000000e+01   9.999000e-03                                          
 8140032   1135.33         1   1.000000e+01   9.999000e-03                                          
 8150032   1136.87         1   1.000000e+01   9.999000e-03                                          
 8160032   1138.43         1   1.000000e+01   9.999000e-03                                          
 8170032   1139.70         1   1.000000e+01   9.999000e-03                                          
 8180032   1140.91         1   1.000000e+01   9.999000e-03                                          
 8190032   1142.08         1   1.000000e+01   9.999000e-03                                          
 8200032   1143.47         1   1.000000e+01   9.999000e-03                                          
 8210032   1144.81         1   1.000000e+01   9.999000e-03                                          
 8220032   1146.14         1   1.000000e+01   9.999000e-03                                          
 8230032   1147.42         1   1.000000e+01   9.999000e-03                                          
 8240032   1148.68         1   1.000000e+01   9.999000e-03                                          
 8250032   1149.93         1   1.000000e+01   9.999000e-03                                          
 8260032   1151.16         1   1.000000e+01   9.999000e-03                                          
 8270032   1152.40         1   1.000000e+01   9.999000e-03                                          
