LP:                Optimal objective value is 1.968750.                                             

Branch and Bound:

   nodes     total   num int        integer       relative                                          
 1210032    170.34         1   1.000000e+01   9.999000e-03                                          
 1220032    171.57         1   1.000000e+01   9.999000e-03                                          
 1230032    172.77         1   1.000000e+01   9.999000e-03                                          
 1240032    173.96         1   1.000000e+01   9.999000e-03                                          
 1250032    175.27         1   1.000000e+01   9.999000e-03                                          
 1260032    176.51         1   1.000000e+01   9.999000e-03                                          
 1270032    177.78         1   1.000000e+01   9.999000e-03                                          
 1280032    179.12         1   1.000000e+01   9.999000e-03                                          
 1290032    180.51         1   1.000000e+01   9.999000e-03                                          
 1300032    181.90         1   1.000000e+01   9.999000e-03                                          
 1310032    183.33         1   1.000000e+01   9.999000e-03                                          
 1320032    184.78         1   1.000000e+01   9.999000e-03                                          
 1330032    186.22         1   1.000000e+01   9.999000e-03                                          
 1340032    187.65         1   1.000000e+01   9.999000e-03                                          
 1350032    189.07         1   1.000000e+01   9.999000e-03                                          
 1360032    190.48         1   1.000000e+01   9.999000e-03                                          
 1370032    191.87         1   1.000000e+01   9.999000e-03                                          
 1380032    193.24         1   1.000000e+01   9.999000e-03                                          
 1390032    194.58         1   1.000000e+01   9.999000e-03                                          
 1400032    195.94         1   1.000000e+01   9.999000e-03                                          
 1410032    197.25         1   1.000000e+01   9.999000e-03                                          
 1420032    198.60         1   1.000000e+01   9.999000e-03                                          
 1430032    199.93         1   1.000000e+01   9.999000e-03                                          
 1440032    201.15         1   1.000000e+01   9.999000e-03                                          
 1450032    202.35         1   1.000000e+01   9.999000e-03                                          
 1460032    203.71         1   1.000000e+01   9.999000e-03                                          
 1470032    205.25         1   1.000000e+01   9.999000e-03                                          
 1480032    206.75         1   1.000000e+01   9.999000e-03                                          
 1490032    208.56         1   1.000000e+01   9.999000e-03                                          
 1500032    210.15         1   1.000000e+01   9.999000e-03                                          
 1510032    211.71         1   1.000000e+01   9.999000e-03                                          
 1520032    213.44         1   1.000000e+01   9.999000e-03                                          
 1530032    214.73         1   1.000000e+01   9.999000e-03                                          
 1540032    216.00         1   1.000000e+01   9.999000e-03                                          
 1550032    217.21         1   1.000000e+01   9.999000e-03                                          
 1560032    218.37         1   1.000000e+01   9.999000e-03                                          
 1570032    219.88         1   1.000000e+01   9.999000e-03                                          
 1580032    221.29         1   1.000000e+01   9.999000e-03                                          
 1590032    222.66         1   1.000000e+01   9.999000e-03                                          
 1600032    224.02         1   1.000000e+01   9.999000e-03                                          
 1610032    225.34         1   1.000000e+01   9.999000e-03                                          
 1620032    226.64         1   1.000000e+01   9.999000e-03                                          
 1630032    227.95         1   1.000000e+01   9.999000e-03                                          
 1640032    229.24         1   1.000000e+01   9.999000e-03                                          
 1650032    230.51         1   1.000000e+01   9.999000e-03                                          
 1660032    231.74         1   1.000000e+01   9.999000e-03                                          
 1670032    232.96         1   1.000000e+01   9.999000e-03                                          
 1680032    234.16         1   1.000000e+01   9.999000e-03                                          
 1690032    235.33         1   1.000000e+01   9.999000e-03                                          
 1700032    236.67         1   1.000000e+01   9.999000e-03                                          
 1710032    237.96         1   1.000000e+01   9.999000e-03                                          
 1720032    239.29         1   1.000000e+01   9.999000e-03                                          
 1730032    240.72         1   1.000000e+01   9.999000e-03                                          
 1740032    242.18         1   1.000000e+01   9.999000e-03                                          
 1750032    243.70         1   1.000000e+01   9.999000e-03                                          
 1760032    245.45         1   1.000000e+01   9.999000e-03                                          
 1770032    246.81         1   1.000000e+01   9.999000e-03                                          
 1780032    248.15         1   1.000000e+01   9.999000e-03                                          
 1790032    249.43         1   1.000000e+01   9.999000e-03                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
 1800032    250.68         1   1.000000e+01   9.999000e-03                                          
 1810032    251.89         1   1.000000e+01   9.999000e-03                                          
 1820032    253.08         1   1.000000e+01   9.999000e-03                                          
 1830032    254.39         1   1.000000e+01   9.999000e-03                                          
 1840032    255.78         1   1.000000e+01   9.999000e-03                                          
 1850032    257.15         1   1.000000e+01   9.999000e-03                                          
 1860032    258.52         1   1.000000e+01   9.999000e-03                                          
 1870032    259.90         1   1.000000e+01   9.999000e-03                                          
 1880032    261.25         1   1.000000e+01   9.999000e-03                                          
 1890032    262.63         1   1.000000e+01   9.999000e-03                                          
 1900032    263.94         1   1.000000e+01   9.999000e-03                                          
 1910032    265.25         1   1.000000e+01   9.999000e-03                                          
 1920032    266.56         1   1.000000e+01   9.999000e-03                                          
 1930032    267.84         1   1.000000e+01   9.999000e-03                                          
 1940032    269.10         1   1.000000e+01   9.999000e-03                                          
 1950032    270.33         1   1.000000e+01   9.999000e-03                                          
 1960032    271.58         1   1.000000e+01   9.999000e-03                                          
 1970032    272.80         1   1.000000e+01   9.999000e-03                                          
 1980032    273.98         1   1.000000e+01   9.999000e-03                                          
 1990032    275.45         1   1.000000e+01   9.999000e-03                                          
 2000032    276.93         1   1.000000e+01   9.999000e-03                                          
 2010032    278.46         1   1.000000e+01   9.999000e-03                                          
 2020032    280.32         1   1.000000e+01   9.999000e-03                                          
 2030032    281.91         1   1.000000e+01   9.999000e-03                                          
 2040032    283.51         1   1.000000e+01   9.999000e-03                                          
 2050032    285.18         1   1.000000e+01   9.999000e-03                                          
 2060032    286.48         1   1.000000e+01   9.999000e-03                                          
 2070032    287.76         1   1.000000e+01   9.999000e-03                                          
 2080032    288.96         1   1.000000e+01   9.999000e-03                                          
 2090032    290.10         1   1.000000e+01   9.999000e-03                                          
 2100032    291.61         1   1.000000e+01   9.999000e-03                                          
 2110032    293.00         1   1.000000e+01   9.999000e-03                                          
 2120032    294.37         1   1.000000e+01   9.999000e-03                                          
 2130032    295.68         1   1.000000e+01   9.999000e-03                                          
 2140032    296.99         1   1.000000e+01   9.999000e-03                                          
 2150032    298.26         1   1.000000e+01   9.999000e-03                                          
 2160032    299.51         1   1.000000e+01   9.999000e-03                                          

Solver stopped prematurely. Integer feasible point found.

Intlinprog stopped because it exceeded the time limit, options.MaxTime = 300 (the selected value). The intcon variables
are integer within tolerance, options.TolInteger = 1e-05 (the default value).

Gries_bound = 9, [k, d, n] = [6, 3, 10], x = [ 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0]


LP:                Optimal objective value is 7.875000.                                             

Branch and Bound:

   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
     431      0.25         1   1.100000e+01   9.099173e+00                                          
   10431      3.34         1   1.100000e+01   9.090083e-03                                          
   20431      6.21         1   1.100000e+01   9.090083e-03                                          
   30431      9.08         1   1.100000e+01   9.090083e-03                                          
   40431     12.25         1   1.100000e+01   9.090083e-03                                          
   50431     15.12         1   1.100000e+01   9.090083e-03                                          
   60431     17.91         1   1.100000e+01   9.090083e-03                                          
   70431     20.69         1   1.100000e+01   9.090083e-03                                          
   80431     23.43         1   1.100000e+01   9.090083e-03                                          
   90431     26.13         1   1.100000e+01   9.090083e-03                                          
  100431     28.77         1   1.100000e+01   9.090083e-03                                          
  110431     31.31         1   1.100000e+01   9.090083e-03                                          
  120431     33.70         1   1.100000e+01   9.090083e-03                                          
  130431     36.30         1   1.100000e+01   9.090083e-03                                          
  140431     38.97         1   1.100000e+01   9.090083e-03                                          
  150431     41.70         1   1.100000e+01   9.090083e-03                                          
  160431     44.44         1   1.100000e+01   9.090083e-03                                          
  170431     47.19         1   1.100000e+01   9.090083e-03                                          
  180431     49.92         1   1.100000e+01   9.090083e-03                                          
  190431     52.65         1   1.100000e+01   9.090083e-03                                          
  200431     55.40         1   1.100000e+01   9.090083e-03                                          
  210431     58.09         1   1.100000e+01   9.090083e-03                                          
  220431     60.81         1   1.100000e+01   9.090083e-03                                          
  230431     63.46         1   1.100000e+01   9.090083e-03                                          
  240431     66.10         1   1.100000e+01   9.090083e-03                                          
  250431     68.69         1   1.100000e+01   9.090083e-03                                          
  260431     71.24         1   1.100000e+01   9.090083e-03                                          
  270431     73.76         1   1.100000e+01   9.090083e-03                                          
  280431     76.19         1   1.100000e+01   9.090083e-03                                          
  290431     78.53         1   1.100000e+01   9.090083e-03                                          
  300431     80.76         1   1.100000e+01   9.090083e-03                                          
  310431     83.35         1   1.100000e+01   9.090083e-03                                          
  320431     85.96         1   1.100000e+01   9.090083e-03                                          
  330431     88.78         1   1.100000e+01   9.090083e-03                                          
  340431     91.43         1   1.100000e+01   9.090083e-03                                          
  350431     94.07         1   1.100000e+01   9.090083e-03                                          
  360431     96.70         1   1.100000e+01   9.090083e-03                                          
